event_id,date,organizer,place,artist_id,fee
789,2019-04-05,Heaven & Sky,The Ballroom South Bank,185,12200.0
790,2019-04-06,Jacky Coyote,Boisdale of Canary Wharf,137,6000.0
791,2019-05-18,Brutal Tunes Inc.,The Bloomsbury Ballroom,184,19700.0
792,2019-04-07,Hackney Events,Lio London,173,3000.0
793,2019-04-30,Palavarium,Courthouse Hotel Shoreditch,132,5400.0
794,2019-04-09,Jacky Coyote,The O2,235,7200.0
795,2019-03-19,Einstein Records,Backyard Comedy Club,188,2700.0
796,2019-02-24,LHC Encounters,The Octagon at QMUL,178,26500.0
797,2019-04-12,Brutal Tunes Inc.,Eventim Apollo,104,6600.0
798,2019-06-23,All Night Long Entertainment,Brewers Hall,103,15500.0
799,2019-05-02,The Night Sky,The O2,168,5800.0
800,2019-04-19,LHC Encounters,The Amadeus,3,9400.0
801,2019-04-19,All Night Long Entertainment,Brewers Hall,162,26900.0
802,2019-04-20,Ultimate Entertainment Inc.,Royal Albert Hall,102,27700.0
803,2019-04-21,Eventually Ltd.,The Amadeus,55,30400.0
804,2019-04-22,Eventually Ltd.,Linbury Theatre,61,21000.0
805,2019-04-22,Ultimate Entertainment Inc.,The Octagon at QMUL,214,4700.0
806,2019-05-29,Yes and Yes,Eventim Apollo,166,6700.0
807,2019-04-25,All Night Long Entertainment,London Museum Docklands,47,27400.0
808,2019-04-26,Mile End Move It,O2 Forum Kentish Town,173,9900.0
809,2019-04-26,Night Out London,The Octagon at QMUL,151,11900.0
810,2019-04-27,Underground Action Lab,Marylebone Theatre,168,9400.0
811,2019-04-08,Night Out London,Brewers Hall,179,17900.0
812,2019-04-30,Go All Out,Boisdale of Canary Wharf,158,19900.0
813,2019-04-16,Arts On End,Linbury Theatre,62,9700.0
814,2019-05-03,Pantomime Records,Indigo at The O2,214,19000.0
815,2019-05-04,Palavarium,Barbican Centre,70,3700.0
816,2019-05-04,Event and Odd,Dalston Roofpark,138,23200.0
817,2019-06-01,All Night Long Entertainment,BMA House,62,5300.0
818,2019-05-09,Eventually Ltd.,Abbey Road Studios,167,16300.0
819,2019-05-10,Kenny Meyer,Barbican Centre,156,19500.0
820,2019-05-10,Excellent Experiences Corp.,Backyard Comedy Club,57,2300.0
821,2019-05-11,Urban Entertainment Inc.,ILEC Conference Centre,42,25900.0
822,2019-05-06,Kenny Meyer,Puttshack Bank,67,9100.0
823,2019-05-18,Go All Out,O2 Forum Kentish Town,112,22300.0
824,2019-04-07,Kenny Meyer,Boisdale of Canary Wharf,117,5600.0
825,2019-05-20,Arts On End,Copper Box Arena,30,21500.0
826,2019-05-24,The Night Sky,VUE West End,42,8400.0
827,2019-05-25,Eventually Ltd.,The Ballroom South Bank,235,13400.0
828,2019-04-15,Go All Out,VUE West End,17,3700.0
829,2019-04-23,Eventually Ltd.,The Amadeus,121,41400.0
830,2019-05-29,Arts On End,Studio 338,235,6200.0
831,2019-05-30,Einstein Records,Kensington Conference and Event Centre,23,19500.0
832,2019-05-14,Moshpit Gigs Ltd.,Abbey Road Studios,147,11500.0
833,2019-06-05,Excellent Experiences Corp.,O2 Forum Kentish Town,22,5800.0
834,2019-06-05,Excellent Experiences Corp.,ILEC Conference Centre,32,7300.0
835,2019-06-06,Mile End Move It,Dalston Roofpark,118,3700.0
836,2019-06-09,Hull McRoasted,Dixie Queen,113,6600.0
837,2019-06-11,Excellent Experiences Corp.,London Stadium,135,1900.0
838,2019-06-11,Mile End Move It,ABBA Arena,82,7300.0
839,2019-06-12,Kenny Meyer,Backyard Comedy Club,205,2700.0
840,2019-06-13,The Night Sky,Linbury Theatre,134,26100.0
841,2019-06-14,special.co.uk,Big Belly Comedy Club,145,18800.0
842,2019-06-14,Hackney Events,Copper Box Arena,165,3100.0
843,2019-06-17,Shady Santa Ltd.,Barbican Centre,221,5400.0
844,2019-06-20,Hull McRoasted,The Amadeus,38,42100.0
845,2019-06-21,Underground Action Lab,Barbican Centre,14,5800.0
846,2019-06-28,Urban Entertainment Inc.,Copper Box Arena,190,7300.0
847,2019-06-22,Heaven & Sky,Cutty Sark,68,7100.0
848,2019-06-23,Hackney Events,London Stadium,219,6500.0
849,2019-05-29,Shady Santa Ltd.,Dixie Queen,32,7500.0
850,2019-06-24,Einstein Records,ILEC Conference Centre,236,4300.0
851,2019-06-25,Mirabelle Lafleur,Big Belly Comedy Club,142,14500.0
852,2019-06-27,Yes and Yes,Lio London,214,29100.0
853,2019-07-01,Urban Entertainment Inc.,Copper Box Arena,84,10800.0
854,2019-08-12,Let's!,Marylebone Theatre,110,2900.0
855,2019-06-30,Mirabelle Lafleur,Hijingo,214,4400.0
856,2019-06-30,Eventually Ltd.,Copper Box Arena,145,27600.0
857,2019-07-27,Underground Action Lab,The Dutch Hall,25,8900.0
858,2019-07-01,Ultimate Entertainment Inc.,The Covent Garden Comedy Cellar,110,7500.0
859,2019-06-21,Yes and Yes,Puttshack Bank,95,23800.0
860,2019-07-05,Brutal Tunes Inc.,Courthouse Hotel Shoreditch,70,5200.0
861,2019-07-08,LHC Encounters,Barbican Centre,54,6500.0
862,2019-07-09,Happy Hamsters,Lio London,144,6800.0
863,2019-07-10,Moshpit Gigs Ltd.,The Amadeus,52,9000.0
864,2019-07-11,The Night Sky,The O2,61,6500.0
865,2019-07-11,Shady Santa Ltd.,Alexandra Palace,41,23700.0
866,2019-08-30,special.co.uk,Lighthouse Theatre,235,35900.0
867,2019-07-18,Jacky Coyote,King's Cross Vision Hall,156,2500.0
868,2019-07-19,Night Out London,Eventim Apollo,55,5400.0
869,2019-07-25,Brutal Tunes Inc.,Events @ No 6,116,4600.0
870,2019-07-25,The Night Sky,Marylebone Theatre,232,4800.0
871,2019-07-26,Night Out London,Lighthouse Theatre,36,15300.0
872,2019-07-27,Ultimate Entertainment Inc.,London Stadium,246,9300.0
873,2019-06-30,All Night Long Entertainment,Lexus Car Dealer Reading,126,15300.0
874,2019-07-28,Yes and Yes,Abbey Road Studios,189,4100.0
875,2019-07-30,special.co.uk,Boisdale of Canary Wharf,152,19800.0
876,2019-08-01,LHC Encounters,Lighthouse Theatre,89,5000.0
877,2019-08-05,Let's!,ILEC Conference Centre,235,15400.0
878,2019-08-06,The Night Sky,The Octagon at QMUL,152,6100.0
879,2019-08-06,Event and Odd,Abbey Road Studios,123,4900.0
880,2019-08-08,Go All Out,Alexandra Palace,105,3400.0
881,2019-08-12,Mile End Move It,VUE West End,68,24000.0
882,2019-08-10,Underground Action Lab,Royal Albert Hall,214,23800.0
883,2019-08-10,Jacky Coyote,EartH,42,5000.0
884,2019-08-13,Moshpit Gigs Ltd.,ABBA Arena,107,14800.0
885,2019-08-12,Pantomime Records,Hijingo,150,5800.0
886,2019-08-08,O-mega Events,Big Belly Comedy Club,16,6300.0
887,2019-06-29,Urban Entertainment Inc.,Alexandra Palace,143,8600.0
888,2019-08-14,Let's!,Lexus Car Dealer Reading,168,2100.0
889,2019-08-15,The Night Sky,London Museum Docklands,141,6300.0
890,2019-07-13,Kenny Meyer,Brewers Hall,213,16300.0
891,2019-08-15,Shady Santa Ltd.,Dalston Roofpark,219,45700.0
892,2019-08-16,Happy Hamsters,Brewers Hall,190,9200.0
893,2019-08-17,Let's!,Royal Albert Hall,31,1500.0
894,2019-08-18,Happy Hamsters,Marylebone Theatre,84,42900.0
895,2019-08-19,Happy Hamsters,London Stadium,93,28400.0
896,2019-08-19,Heaven & Sky,Cutty Sark,64,5900.0
897,2019-08-20,The Night Sky,Studio 338,40,17600.0
898,2019-08-21,The Night Sky,Big Belly Comedy Club,40,23100.0
899,2019-08-23,Yes and Yes,Abbey Road Studios,218,18400.0
900,2019-08-23,The Night Sky,The Ballroom South Bank,145,5800.0
901,2019-08-24,Happy Hamsters,Studio 338,235,10600.0
902,2019-08-25,Brutal Tunes Inc.,Eventim Apollo,38,32300.0
903,2019-08-25,Arts On End,BMA House,202,1800.0
904,2019-09-12,LHC Encounters,EartH,40,8700.0
905,2019-08-27,Mile End Move It,Abbey Road Studios,80,23000.0
906,2019-08-27,Go All Out,Lighthouse Theatre,216,4700.0
907,2019-08-28,Eventually Ltd.,The O2,133,14000.0
908,2019-08-28,Yes and Yes,Lio London,107,4700.0
909,2019-10-04,Palavarium,BMA House,178,4900.0
910,2019-08-29,Palavarium,Eventim Apollo,20,2700.0
911,2019-08-30,Yes and Yes,ILEC Conference Centre,156,6400.0
912,2019-08-15,LHC Encounters,The Amadeus,111,31900.0
913,2019-08-30,Brutal Tunes Inc.,The Octagon at QMUL,256,4100.0
914,2019-08-31,Arts On End,Puttshack Bank,251,4400.0
915,2019-08-31,Ultimate Entertainment Inc.,Lio London,151,6000.0
916,2019-09-01,special.co.uk,The Dutch Hall,34,16700.0
917,2019-09-02,Mile End Move It,Wembley Stadium,162,5700.0
918,2019-09-03,Event and Odd,Barbican Centre,110,5800.0
919,2019-09-03,LHC Encounters,Big Belly Comedy Club,197,6400.0
920,2019-09-04,Jacky Coyote,London Museum Docklands,128,28500.0
921,2019-09-04,Happy Hamsters,Kensington Conference and Event Centre,200,20300.0
922,2019-09-06,Shady Santa Ltd.,London Stadium,18,7300.0
923,2019-09-08,Eventually Ltd.,Puttshack Bank,131,26800.0
924,2019-09-10,All Night Long Entertainment,Hijingo,188,25000.0
925,2019-09-21,Let's!,Copper Box Arena,188,3900.0
926,2019-09-14,Mile End Move It,Linbury Theatre,182,3600.0
927,2019-09-15,Yes and Yes,Puttshack Bank,168,44700.0
928,2019-09-17,Pantomime Records,Cutty Sark,33,27000.0
929,2019-08-26,O-mega Events,Barbican Centre,92,6900.0
930,2019-09-25,Yes and Yes,O2 Forum Kentish Town,174,17700.0
931,2019-09-26,Einstein Records,King's Cross Vision Hall,216,32000.0
932,2019-09-29,Pantomime Records,Abbey Road Studios,142,6900.0
933,2019-09-29,Moshpit Gigs Ltd.,London Museum Docklands,121,10100.0
934,2019-09-30,Jacky Coyote,Alexandra Palace,202,5000.0
935,2019-09-30,Event and Odd,Linbury Theatre,254,6700.0
936,2019-09-30,special.co.uk,Dixie Queen,123,12500.0
937,2019-10-01,Happy Hamsters,Hijingo,132,25400.0
938,2019-10-02,Go All Out,Eventim Apollo,199,4900.0
939,2019-11-24,All Night Long Entertainment,EartH,29,7000.0
940,2019-10-03,Excellent Experiences Corp.,Copper Box Arena,200,1800.0
941,2019-08-29,Go All Out,Studio 338,48,24500.0
942,2019-10-05,Ultimate Entertainment Inc.,The Bloomsbury Ballroom,132,7400.0
943,2019-10-09,Mile End Move It,Dalston Roofpark,214,17200.0
944,2019-10-08,Let's!,Studio 338,206,6300.0
945,2019-10-09,Underground Action Lab,VUE West End,182,7800.0
946,2019-10-16,Go All Out,ABBA Arena,7,14200.0
947,2019-10-18,Hackney Events,The Covent Garden Comedy Cellar,166,20100.0
948,2019-12-01,Event and Odd,Marylebone Theatre,173,16300.0
949,2019-10-21,Palavarium,The Amadeus,220,22200.0
950,2019-12-02,Go All Out,The O2,84,3300.0
951,2019-10-20,Go All Out,Abbey Road Studios,237,16000.0
952,2019-10-21,Happy Hamsters,O2 Forum Kentish Town,244,6700.0
953,2019-10-24,Night Out London,BMA House,120,7000.0
954,2019-10-25,Eventually Ltd.,ABBA Arena,99,34100.0
955,2019-10-27,Ultimate Entertainment Inc.,King's Cross Vision Hall,152,2500.0
956,2019-10-27,Night Out London,Events @ No 6,163,11800.0
957,2019-10-27,Mile End Move It,Puttshack Bank,142,2700.0
958,2019-10-28,Hull McRoasted,The Octagon at QMUL,232,26200.0
959,2019-11-17,Let's!,Lio London,252,35400.0
960,2019-11-01,Eventually Ltd.,Marylebone Theatre,246,9800.0
961,2019-11-01,Excellent Experiences Corp.,EartH,168,13000.0
962,2019-11-02,Underground Action Lab,Linbury Theatre,26,16700.0
963,2019-11-02,Go All Out,The Octagon at QMUL,81,18700.0
964,2019-11-03,Eventually Ltd.,Indigo at The O2,77,21500.0
965,2019-11-22,Eventually Ltd.,Big Belly Comedy Club,16,5200.0
966,2019-11-06,Underground Action Lab,The O2,55,17000.0
967,2019-11-07,Pantomime Records,The Dutch Hall,49,20100.0
968,2019-11-08,Brutal Tunes Inc.,Brewers Hall,105,7900.0
969,2019-11-29,Hackney Events,Linbury Theatre,235,6100.0
970,2019-11-08,Heaven & Sky,O2 Forum Kentish Town,181,23900.0
971,2019-11-10,Event and Odd,Brewers Hall,150,25600.0
972,2019-11-11,Happy Hamsters,Kensington Conference and Event Centre,133,9700.0
973,2019-11-11,Eventually Ltd.,Puttshack Bank,56,19100.0
974,2019-11-06,Moshpit Gigs Ltd.,Barbican Centre,144,1600.0
975,2019-11-17,Einstein Records,Royal Albert Hall,201,31000.0
976,2019-11-18,Happy Hamsters,ILEC Conference Centre,196,12700.0
977,2019-11-18,Hull McRoasted,Dalston Roofpark,89,17000.0
978,2019-12-18,Pantomime Records,Big Belly Comedy Club,133,19000.0
979,2019-12-02,Underground Action Lab,VUE West End,243,37700.0
980,2019-12-30,Brutal Tunes Inc.,London Museum Docklands,82,5400.0
981,2019-10-31,Night Out London,The Dutch Hall,215,13500.0
982,2019-12-12,O-mega Events,Curve Club,150,23200.0
983,2019-11-25,Yes and Yes,BMA House,166,26100.0
984,2019-11-08,Arts On End,Lio London,192,24700.0
985,2019-12-01,LHC Encounters,BMA House,158,12800.0
986,2019-10-19,Ultimate Entertainment Inc.,ILEC Conference Centre,235,35900.0
987,2019-10-20,Palavarium,Barbican Centre,54,5900.0
988,2019-12-02,Let's!,London Stadium,237,2400.0
989,2019-11-21,Hull McRoasted,Curve Club,145,15500.0
990,2019-12-13,Eventually Ltd.,The O2,180,17200.0
991,2019-12-04,Einstein Records,Indigo at The O2,237,15900.0
992,2020-01-05,LHC Encounters,Boisdale of Canary Wharf,120,6900.0
993,2019-12-16,Mile End Move It,Curve Club,259,13500.0
994,2019-12-08,Go All Out,Lighthouse Theatre,106,10300.0
995,2019-12-08,Arts On End,Royal Albert Hall,236,26100.0
996,2019-12-09,All Night Long Entertainment,London Museum Docklands,9,6200.0
997,2019-10-02,Eventually Ltd.,Copper Box Arena,84,2500.0
998,2019-12-03,Pantomime Records,Royal Albert Hall,63,4300.0
999,2019-12-13,Eventually Ltd.,Eventim Apollo,38,36300.0
1000,2019-12-14,Pantomime Records,Backyard Comedy Club,175,25000.0
1001,2019-12-06,The Night Sky,Lighthouse Theatre,5,14000.0
1002,2019-11-19,Kenny Meyer,Islington Assembly Hall,57,2200.0
1003,2019-12-18,Arts On End,Linbury Theatre,145,4800.0
1004,2020-01-20,Excellent Experiences Corp.,Lio London,104,44600.0
1005,2020-01-16,Kenny Meyer,ILEC Conference Centre,105,6800.0
1006,2019-12-20,Event and Odd,Electric Brixton,156,5000.0
1007,2019-12-23,Go All Out,EartH,120,18600.0
1008,2019-12-25,Event and Odd,Islington Assembly Hall,199,17600.0
1009,2019-12-25,The Night Sky,Dalston Roofpark,23,13300.0
1010,2019-12-27,Kenny Meyer,London Museum Docklands,20,12300.0
1011,2019-12-27,Heaven & Sky,Dalston Roofpark,182,12800.0
1012,2019-12-30,Hull McRoasted,Dalston Roofpark,114,28200.0
1013,2019-11-21,Let's!,The Dutch Hall,149,2300.0
1014,2019-12-20,Mirabelle Lafleur,Boisdale of Canary Wharf,16,14500.0
1015,2019-12-31,Pantomime Records,London Museum Docklands,20,7100.0
1016,2020-01-02,Heaven & Sky,The Amadeus,252,12500.0
1017,2020-01-03,O-mega Events,Eventim Apollo,79,7600.0
1018,2020-01-04,Brutal Tunes Inc.,BMA House,160,5900.0
1019,2019-12-05,Underground Action Lab,Alexandra Palace,132,10200.0
1020,2020-01-06,Jacky Coyote,The Bloomsbury Ballroom,115,7600.0
1021,2020-01-07,LHC Encounters,The Dutch Hall,143,27600.0
1022,2020-01-07,Shady Santa Ltd.,Wembley Stadium,152,26200.0
1023,2020-01-08,All Night Long Entertainment,Puttshack Bank,228,17600.0
1024,2020-01-08,Brutal Tunes Inc.,Puttshack Bank,246,17900.0
1025,2020-01-09,Yes and Yes,The Covent Garden Comedy Cellar,229,20800.0
1026,2020-01-12,All Night Long Entertainment,Abbey Road Studios,170,21100.0
1027,2020-01-10,O-mega Events,Curve Club,44,16000.0
1028,2020-01-15,Let's!,Eventim Apollo,40,34800.0
1029,2020-01-11,Night Out London,Electric Brixton,257,3200.0
1030,2020-01-09,LHC Encounters,Dixie Queen,29,6000.0
1031,2020-01-13,Mile End Move It,Electric Brixton,79,13500.0
1032,2020-01-13,All Night Long Entertainment,The Bloomsbury Ballroom,141,34600.0
1033,2020-01-13,Yes and Yes,Indigo at The O2,150,19000.0
1034,2020-01-13,Excellent Experiences Corp.,Linbury Theatre,110,7100.0
1035,2020-01-11,Heaven & Sky,Barbican Centre,157,7300.0
1036,2020-01-14,The Night Sky,VUE West End,235,7300.0
1037,2020-01-13,Einstein Records,Linbury Theatre,156,22300.0
1038,2019-12-30,Moshpit Gigs Ltd.,BMA House,137,6700.0
1039,2020-01-16,Night Out London,Islington Assembly Hall,99,14600.0
1040,2020-01-19,Mile End Move It,Backyard Comedy Club,258,22600.0
1041,2020-01-19,Heaven & Sky,The Bloomsbury Ballroom,149,4600.0
1042,2019-12-19,Pantomime Records,Dalston Roofpark,190,4800.0
1043,2020-01-20,Moshpit Gigs Ltd.,Indigo at The O2,197,7900.0
1044,2020-01-20,Underground Action Lab,BMA House,152,7200.0
1045,2020-01-22,Happy Hamsters,The Ballroom South Bank,145,16500.0
1046,2020-01-22,Underground Action Lab,Copper Box Arena,249,3900.0
1047,2020-01-24,Urban Entertainment Inc.,Big Belly Comedy Club,17,9500.0
1048,2020-02-25,Excellent Experiences Corp.,Big Belly Comedy Club,17,5400.0
1049,2020-01-27,Pantomime Records,The Bloomsbury Ballroom,132,9700.0
1050,2020-01-28,Moshpit Gigs Ltd.,Marylebone Theatre,28,12500.0
1051,2020-01-29,Urban Entertainment Inc.,BMA House,0,8700.0
1052,2020-01-29,Night Out London,O2 Forum Kentish Town,233,3200.0
1053,2020-02-01,Go All Out,Royal Albert Hall,190,23800.0
1054,2020-02-04,LHC Encounters,The Octagon at QMUL,45,7300.0
1055,2020-02-07,Einstein Records,The Dutch Hall,104,5100.0
1056,2020-02-08,Jacky Coyote,Events @ No 6,120,32000.0
1057,2020-02-08,Excellent Experiences Corp.,The Amadeus,261,4100.0
1058,2020-02-08,Hull McRoasted,Courthouse Hotel Shoreditch,149,34900.0
1059,2020-02-10,Hackney Events,Boisdale of Canary Wharf,242,28900.0
1060,2020-02-10,Ultimate Entertainment Inc.,Copper Box Arena,262,25800.0
1061,2020-02-13,Jacky Coyote,Lexus Car Dealer Reading,219,38100.0
1062,2020-02-13,Eventually Ltd.,Curve Club,106,13000.0
1063,2020-02-13,Mirabelle Lafleur,The Octagon at QMUL,105,14600.0
1064,2020-02-15,Hull McRoasted,Big Belly Comedy Club,163,6000.0
1065,2020-02-15,special.co.uk,Events @ No 6,129,20600.0
1066,2020-02-16,Jacky Coyote,The Bloomsbury Ballroom,177,6300.0
1067,2020-02-16,Hull McRoasted,The Dutch Hall,183,20900.0
1068,2020-02-18,O-mega Events,ILEC Conference Centre,246,30100.0
1069,2020-02-20,Mile End Move It,London Stadium,257,4400.0
1070,2020-02-20,Night Out London,Lio London,244,7900.0
1071,2020-02-21,Eventually Ltd.,Linbury Theatre,127,30500.0
1072,2020-02-21,Ultimate Entertainment Inc.,Electric Brixton,153,39400.0
1073,2020-02-23,Hackney Events,VUE West End,252,9600.0
1074,2020-02-24,Excellent Experiences Corp.,Hijingo,181,28100.0
1075,2020-02-24,Let's!,The Ballroom South Bank,49,11200.0
1076,2020-02-24,Underground Action Lab,Curve Club,128,12600.0
1077,2020-01-27,Pantomime Records,VUE West End,125,4400.0
1078,2020-02-26,Heaven & Sky,London Museum Docklands,103,11500.0
1079,2020-02-27,Eventually Ltd.,Puttshack Bank,229,20400.0
1080,2020-02-28,Urban Entertainment Inc.,Islington Assembly Hall,170,31900.0
1081,2020-02-29,Urban Entertainment Inc.,London Museum Docklands,258,2300.0
1082,2020-02-29,Moshpit Gigs Ltd.,Backyard Comedy Club,141,33500.0
1083,2020-02-29,Happy Hamsters,Lio London,7,13600.0
1084,2020-03-01,Yes and Yes,Dixie Queen,220,17000.0
1085,2020-03-01,Happy Hamsters,BMA House,256,27100.0
1086,2020-03-04,Yes and Yes,The Octagon at QMUL,133,34600.0
1087,2020-03-05,Kenny Meyer,EartH,132,25800.0
1088,2020-03-05,The Night Sky,Abbey Road Studios,105,16300.0
1089,2020-03-09,Arts On End,VUE West End,84,1800.0
1090,2020-03-09,All Night Long Entertainment,BMA House,197,25100.0
1091,2020-03-10,Shady Santa Ltd.,London Museum Docklands,181,6300.0
1092,2020-03-12,Jacky Coyote,London Stadium,181,9700.0
1093,2020-03-12,Pantomime Records,Cutty Sark,232,21500.0
1094,2020-03-17,special.co.uk,Copper Box Arena,156,2500.0
1095,2020-03-18,Brutal Tunes Inc.,Brewers Hall,93,10200.0
1096,2020-05-06,Urban Entertainment Inc.,Indigo at The O2,2,15600.0
1097,2020-03-20,Shady Santa Ltd.,London Museum Docklands,155,9900.0
1098,2020-03-23,Hackney Events,Alexandra Palace,204,14600.0
1099,2020-03-24,Ultimate Entertainment Inc.,ILEC Conference Centre,138,6000.0
1100,2020-03-24,Einstein Records,The Amadeus,48,14400.0
1101,2020-03-27,Kenny Meyer,ABBA Arena,207,44800.0
1102,2020-03-28,Mirabelle Lafleur,Copper Box Arena,248,7400.0
1103,2020-04-01,Shady Santa Ltd.,Eventim Apollo,178,6800.0
1104,2020-04-02,Mile End Move It,O2 Forum Kentish Town,210,4500.0
1105,2020-04-03,Brutal Tunes Inc.,Backyard Comedy Club,192,30600.0
1106,2020-04-04,Excellent Experiences Corp.,The Ballroom South Bank,149,7600.0
1107,2020-04-05,Mile End Move It,The Dutch Hall,153,11000.0
1108,2020-04-09,Einstein Records,Abbey Road Studios,92,19300.0
1109,2020-04-12,Moshpit Gigs Ltd.,Dixie Queen,131,24200.0
1110,2020-04-12,Heaven & Sky,The Ballroom South Bank,47,20100.0
1111,2020-04-20,Event and Odd,Indigo at The O2,81,14100.0
1112,2020-04-14,Let's!,The O2,53,24800.0
1113,2020-04-15,Hull McRoasted,Kensington Conference and Event Centre,252,4200.0
1114,2020-04-15,Night Out London,Alexandra Palace,242,7500.0
1115,2020-04-16,Mile End Move It,Lio London,179,7300.0
1116,2020-04-17,Shady Santa Ltd.,Wembley Stadium,30,15700.0
1117,2020-04-17,Happy Hamsters,The Amadeus,256,3700.0
1118,2020-04-19,O-mega Events,Barbican Centre,244,3900.0
1119,2020-04-13,Ultimate Entertainment Inc.,Wembley Stadium,125,27600.0
1120,2020-04-22,Yes and Yes,The Dutch Hall,133,7500.0
1121,2020-04-22,Jacky Coyote,Big Belly Comedy Club,235,20900.0
1122,2020-04-22,Urban Entertainment Inc.,BMA House,193,9400.0
1123,2020-04-24,Arts On End,Events @ No 6,127,3800.0
1124,2020-06-18,O-mega Events,Kensington Conference and Event Centre,254,7200.0
1125,2020-04-26,The Night Sky,Studio 338,60,27900.0
1126,2020-04-28,Hackney Events,EartH,135,4000.0
1127,2020-07-13,Event and Odd,Brewers Hall,258,6700.0
1128,2020-04-27,LHC Encounters,Abbey Road Studios,276,3200.0
1129,2020-04-29,The Night Sky,Marylebone Theatre,243,33400.0
1130,2020-04-30,Pantomime Records,Kensington Conference and Event Centre,193,10700.0
1131,2020-05-01,Heaven & Sky,O2 Forum Kentish Town,34,12800.0
1132,2020-03-18,Go All Out,Hijingo,99,4100.0
1133,2020-05-04,LHC Encounters,ILEC Conference Centre,242,10700.0
1134,2020-05-06,Urban Entertainment Inc.,BMA House,80,3800.0
1135,2020-05-02,Urban Entertainment Inc.,Dalston Roofpark,180,4900.0
1136,2020-05-08,Mile End Move It,Studio 338,256,32800.0
1137,2020-06-28,Excellent Experiences Corp.,Events @ No 6,82,17900.0
1138,2020-05-16,Kenny Meyer,Alexandra Palace,190,6100.0
1139,2020-05-09,Go All Out,Electric Brixton,5,18500.0
1140,2020-05-26,Yes and Yes,Brewers Hall,262,19800.0
1141,2020-07-08,Ultimate Entertainment Inc.,Big Belly Comedy Club,190,39100.0
1142,2020-05-30,special.co.uk,Backyard Comedy Club,161,2600.0
1143,2020-05-13,Pantomime Records,Copper Box Arena,151,23600.0
1144,2020-05-13,Mirabelle Lafleur,Lighthouse Theatre,252,9500.0
1145,2020-05-14,Eventually Ltd.,Alexandra Palace,190,26300.0
1146,2020-05-14,Heaven & Sky,Dalston Roofpark,247,3600.0
1147,2020-05-09,Hull McRoasted,ILEC Conference Centre,193,12200.0
1148,2020-05-17,O-mega Events,King's Cross Vision Hall,173,5800.0
1149,2020-05-20,Jacky Coyote,Backyard Comedy Club,58,18600.0
1150,2020-05-20,Excellent Experiences Corp.,Hijingo,128,10100.0
1151,2020-06-05,Palavarium,The Bloomsbury Ballroom,45,9600.0
1152,2020-05-22,Ultimate Entertainment Inc.,Dixie Queen,68,3500.0
1153,2020-05-23,Mirabelle Lafleur,BMA House,252,10000.0
1154,2020-05-24,Palavarium,Courthouse Hotel Shoreditch,179,18100.0
1155,2020-05-25,Jacky Coyote,Eventim Apollo,51,6400.0
1156,2020-05-25,Hackney Events,The Bloomsbury Ballroom,138,12200.0
1157,2020-06-10,Ultimate Entertainment Inc.,The Dutch Hall,237,4000.0
1158,2020-05-28,Let's!,BMA House,49,15600.0
1159,2020-05-26,Underground Action Lab,The Covent Garden Comedy Cellar,181,2800.0
1160,2020-05-27,Arts On End,London Museum Docklands,163,7200.0
1161,2020-05-31,Night Out London,Abbey Road Studios,7,5900.0
1162,2020-05-27,Shady Santa Ltd.,London Stadium,18,4300.0
1163,2020-05-27,Event and Odd,Indigo at The O2,265,8600.0
1164,2020-05-09,Pantomime Records,Hijingo,126,4300.0
1165,2020-05-28,Jacky Coyote,Islington Assembly Hall,263,6500.0
1166,2020-06-11,O-mega Events,Hijingo,42,4000.0
1167,2020-05-30,Go All Out,Marylebone Theatre,252,5900.0
1168,2020-05-30,Mile End Move It,The Octagon at QMUL,142,15100.0
1169,2020-05-12,Underground Action Lab,The Amadeus,218,4700.0
1170,2020-05-27,O-mega Events,The Amadeus,222,27100.0
1171,2020-06-01,Pantomime Records,Dixie Queen,235,6800.0
1172,2020-06-03,Mile End Move It,The Amadeus,273,5800.0
1173,2020-06-04,Event and Odd,Puttshack Bank,243,14400.0
1174,2020-05-22,Jacky Coyote,The Bloomsbury Ballroom,100,10000.0
1175,2020-06-14,Urban Entertainment Inc.,Cutty Sark,40,19200.0
1176,2020-06-12,LHC Encounters,Cutty Sark,272,14700.0
1177,2020-04-28,Einstein Records,The Amadeus,132,9800.0
1178,2020-06-10,Kenny Meyer,London Museum Docklands,180,29800.0
1179,2020-06-10,Eventually Ltd.,Dalston Roofpark,111,6500.0
1180,2020-05-26,Night Out London,VUE West End,186,11200.0
1181,2020-06-10,Excellent Experiences Corp.,Marylebone Theatre,201,7500.0
1182,2020-06-08,Arts On End,Dalston Roofpark,250,13000.0
1183,2020-06-07,Heaven & Sky,Events @ No 6,30,6900.0
1184,2020-08-10,Go All Out,Electric Brixton,133,17400.0
1185,2020-06-05,Go All Out,EartH,162,1600.0
1186,2020-06-15,special.co.uk,Lighthouse Theatre,100,11500.0
1187,2020-06-17,Moshpit Gigs Ltd.,Abbey Road Studios,18,11600.0
1188,2020-06-18,Shady Santa Ltd.,Islington Assembly Hall,219,7000.0
1189,2020-06-18,Go All Out,Dalston Roofpark,16,10100.0
1190,2020-06-18,Let's!,The Octagon at QMUL,246,39300.0
1191,2020-04-26,Excellent Experiences Corp.,Linbury Theatre,56,4800.0
1192,2020-06-19,Mirabelle Lafleur,The O2,117,21500.0
